     PROFIL  PUNKT     X [m]     H [m]  LAMBDA [-]   V [m/s]
    42.0000      7    15.809   367.378   0.0000000     0.000
    42.0000      8    27.524   367.347   0.0000000     0.000
    42.0000      9    33.807   367.330   0.0000000     0.000
    42.0000     10    42.094   367.241   0.0000000     0.000
    42.0000     11    50.426   367.228   0.0000000     0.000
    42.0000     12    58.614   367.216   0.0000000     0.000
    42.0000     13    64.042   367.223   0.0000000     0.000
    42.0000     14    83.541   367.248   0.0000000     0.000
    42.0000     15    85.216   367.253   0.0000000     0.000
    42.0000     16    86.532   367.249   0.0000000     0.000
    42.0000     17    92.698   367.278   0.0000000     0.000
    42.0000     18   107.326   367.345   0.0000000     0.000
    42.0000     19   110.163   367.358   0.0000000     0.000
    42.0000     20   114.724   367.382   0.0000000     0.000
    42.0000     21   128.771   367.454   0.0000000     0.000
    42.0000     22   134.424   367.462   0.0000000     0.000
    42.0000     23   143.215   367.476   0.0000000     0.000
    42.0000     24   145.084   367.479   0.0000000     0.000
