     PROFIL  PUNKT     X [m]     H [m]  LAMBDA [-]   V [m/s]
     0.8620      6   -90.213     7.288   0.0646070     0.211
     0.8620      7   -89.459     7.294   0.0646070     0.211
     0.8620      8   -80.608     7.210   0.0646070     0.211
     0.8620      9   -77.407     6.971   0.0646070     0.211
     0.8620     10   -74.205     7.219   0.0646070     0.211
     0.8620     11   -64.600     7.188   0.0809574     0.211
     0.8620     12   -61.156     7.372   0.0809574     0.211
     0.8620     13   -59.798     7.291   0.0809574     0.211
     0.8620     14   -58.197     7.501   0.0809574     0.211
     0.8620     15   -56.596     7.350   0.0809574     0.211
     0.8620     16   -53.395     7.466   0.0000000     0.000
     0.8620     17   -46.512     7.283   0.0000000     0.000
     0.8620     18   -43.790     7.356   0.0724465     0.211
     0.8620     19   -42.328     7.312   0.0724465     0.211
     0.8620     20   -38.987     7.344   0.0724465     0.211
     0.8620     21   -36.052     7.500   0.0724465     0.211
     0.8620     22   -32.584     7.293   0.0724465     0.211
     0.8620     23   -27.781     7.303   0.0000000     0.000
     0.8620     24   -26.181     7.381   0.0000000     0.000
     0.8620     25   -15.132     7.265   0.0000000     0.000
     0.8620     26   -11.773     7.312   0.0000000     0.000
     0.8620     27   -10.948     7.345   0.0000000     0.000
     0.8620     28    -6.764     7.439   0.0000000     0.000
     0.8620     29    -5.370     7.153   0.0000000     0.000
     0.8620     30    -4.672     7.006   0.0000000     0.000
     0.8620     31    -2.579     7.243   0.0000000     0.000
     0.8620     32    -0.487     6.794   0.0000000     0.000
     0.8620     33     0.000     7.245   0.0000000     0.000
     0.8620     34     2.134     6.517   0.0000000     0.000
     0.8620     35     2.750     6.000   0.0714781     0.477
     0.8620     36     2.860     5.906   0.0714781     0.477
     0.8620     37     3.257     5.949   0.0714781     0.477
     0.8620     38     3.493     5.779   0.0714781     0.477
     0.8620     39     3.653     5.458   0.0714781     0.477
     0.8620     40     4.205     5.450   0.0714781     0.477
     0.8620     41     4.910     5.463   0.0714781     0.477
     0.8620     42     5.900     6.000   0.0000000     0.000
     0.8620     43     8.336     7.217   0.0000000     0.000
     0.8620     44     9.162     7.634   0.0000000     0.000
     0.8620     45     9.711     7.799   0.0000000     0.000
     0.8620     46    11.733     8.883   0.0000000     0.000
     0.9090      1  -118.063     7.498   0.0000000     0.000
     0.9090      2  -115.261     7.405   0.0000000     0.000
     0.9090      3  -105.176     7.402   0.0647039     0.187
     0.9090      4   -91.304     7.089   0.0647039     0.187
     0.9090      5   -64.836     7.169   0.0646070     0.187
     0.9090      6   -54.751     7.345   0.0646070     0.187
     0.9090      7   -37.785     7.290   0.0646070     0.187
     0.9090      8   -24.497     7.423   0.0646070     0.187
     0.9090      9   -22.160     7.386   0.0646070     0.187
     0.9090     10   -19.946     7.351   0.0646070     0.187
     0.9090     11   -14.411     7.089   0.0809574     0.187
     0.9090     12   -11.850     7.271   0.0809574     0.187
     0.9090     13    -8.800     7.144   0.0809574     0.187
     0.9090     14    -7.610     6.560   0.0809574     0.187
     0.9090     15    -6.600     6.100   0.0729332     0.386
     0.9090     16    -6.300     5.971   0.0729332     0.386
     0.9090     17    -5.650     5.895   0.0729332     0.386
     0.9090     18    -5.350     5.586   0.0729332     0.386
     0.9090     19    -4.100     5.611   0.0729332     0.386
     0.9090     20    -3.600     5.853   0.0729332     0.386
     0.9090     21    -3.200     6.100   0.0724465     0.238
     0.9090     22    -1.800     6.888   0.0724465     0.238
     0.9090     23     0.000     7.171   0.0000000     0.000
     0.9090     24     2.030     7.314   0.0000000     0.000
     0.9090     25     3.800     8.080   0.0000000     0.000
     0.9090     26     5.758     9.507   0.0000000     0.000
     0.9090     27     6.813     9.914   0.0000000     0.000
     0.9090     28    15.843    12.328   0.0000000     0.000
     0.9820      1  -104.948     8.782   0.0000000     0.000
