       Stat Kenn     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN
         km    -       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m
    65.3000    n     6.720     7.591     7.594     9.140     9.320     9.140   0.257    0.71  0.0000  0.0860  0.0000     0.000     6.418     0.000     0.000     9.591     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    65.4000    n     6.600     7.601     7.604     9.290     9.400     9.290   0.233    0.60  0.0000  0.0883  0.0000     0.000     7.086     0.000     0.000     9.529     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    65.5000    n     6.470     7.609     7.612     8.490     8.490     8.790   0.219    0.47  0.0000  0.0782  0.0000     0.000     7.545     0.000     0.000     9.118     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    65.6230    w     7.150     8.292     8.294     8.080     8.080     8.080   0.163    0.27  0.1077  0.0804  0.1113     0.027    10.030     0.040     0.250    11.000     0.374     8.080  -999.999  -999.999  -999.999  -999.999
    65.7000    n     7.300     8.298     8.302     9.630    10.120     9.630   0.280    0.87  0.0000  0.0883  0.0000     0.000     5.890     0.000     0.000     8.684     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    65.8000    n     7.210     8.310     8.314     9.670     9.680     9.670   0.265    0.73  0.0000  0.0836  0.0000     0.000     6.233     0.000     0.000     8.381     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    65.9000    n     6.940     8.319     8.322     9.510     9.630     9.510   0.236    0.52  0.0000  0.0741  0.0000     0.000     6.992     0.000     0.000     8.027     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    66.0000    n     6.960     8.327     8.331     9.680     9.680    10.300   0.269    0.75  0.0000  0.0832  0.0000     0.000     6.132     0.000     0.000     7.207     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    66.1000    n     7.500     8.350     8.357     9.690     9.990     9.690   0.387    2.02  0.0000  0.1079  0.0000     0.000     4.263     0.000     0.000     7.630     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    66.2000    n     7.580     8.386     8.393     9.660     9.960     9.660   0.371    1.72  0.0000  0.0998  0.0000     0.000     4.445     0.000     0.000     7.632     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    66.3000    n     7.940     8.441     8.453     9.470     9.470     9.840   0.488    3.36  0.0000  0.1124  0.0000     0.000     3.382     0.000     0.000     8.073     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    66.4000    n     7.690     8.501     8.507     9.670     9.870     9.670   0.340    1.29  0.0000  0.0893  0.0000     0.000     4.853     0.000     0.000     7.906     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    66.5000    n     7.780     8.544     8.555     9.670    10.240     9.670   0.447    2.80  0.0000  0.1119  0.0000     0.000     3.691     0.000     0.000     8.422     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    66.6000    n     7.750     8.593     8.597     9.510     9.510     9.840   0.309    1.04  0.0000  0.0873  0.0000     0.000     5.347     0.000     0.000     8.502     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    66.7000    n     7.790     8.613     8.620     9.790     9.790    10.100   0.348    1.36  0.0000  0.0900  0.0000     0.000     4.742     0.000     0.000     8.140     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    66.8000    n     7.790     8.642     8.649    10.260    10.860    10.260   0.378    1.81  0.0000  0.1013  0.0000     0.000     4.368     0.000     0.000     7.536     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    66.9000    n     8.370     8.788     8.813    10.100    10.100    10.400   0.690    8.12  0.0000  0.1357  0.0000     0.000     2.391     0.000     0.000     7.926     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    66.9500    w     8.280     9.349     9.350     9.130     9.130     9.130   0.172    0.30  0.1111  0.0809  0.1098     0.041     9.516     0.036     0.377    10.500     0.332     9.130  -999.999  -999.999  -999.999  -999.999
    66.9770    n     8.530     9.350     9.357    10.620    10.690    10.620   0.352    1.54  0.0000  0.0992  0.0000     0.000     4.688     0.000     0.000     7.523     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    67.0000    n     8.400     9.357     9.361    10.090    10.090    10.330   0.277    0.85  0.0000  0.0880  0.0000     0.000     5.948     0.000     0.000     7.961     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    67.1000    n     8.560     9.374     9.379    10.070    10.070    10.130   0.317    1.30  0.0000  0.1030  0.0000     0.000     5.201     0.000     0.000     8.681     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    67.2000    n     8.580     9.401     9.407    10.230    10.230    10.600   0.351    1.67  0.0000  0.1084  0.0000     0.000     4.704     0.000     0.000     8.192     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    67.3000    n     8.470     9.426     9.431    10.160    10.160    10.670   0.307    1.11  0.0000  0.0939  0.0000     0.000     5.373     0.000     0.000     7.821     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    67.4000    n     8.560     9.445     9.451    10.430    10.430    10.540   0.323    1.19  0.0000  0.0914  0.0000     0.000     5.105     0.000     0.000     8.301     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    67.5000    n     8.790     9.480     9.489    10.800    11.180    10.800   0.426    2.45  0.0000  0.1081  0.0000     0.000     3.876     0.000     0.000     7.692     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    67.6000    n     8.760     9.527     9.533    10.490    11.380    10.490   0.336    1.56  0.0000  0.1102  0.0000     0.000     3.185     0.000     0.000     6.895     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    67.7000    n     8.960     9.560     9.565    10.990    10.990    10.990   0.296    1.23  0.0000  0.1118  0.0000     0.000     3.620     0.000     0.000     7.736     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    67.8000    n     8.840     9.598     9.605    10.770    11.350    10.770   0.380    2.03  0.0000  0.1121  0.0000     0.000     2.815     0.000     0.000     6.332     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
